Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Vehicle Type
TL59568,Arizona,12836.01,No,Premium,High School or Below,2/28/11,Unemployed,M,,Suburban,Married,116,6.0,28,0.0,2,Personal Auto,Personal L2,Offer3,Agent,835.2,Two-Door Car,Medsize,
CW49887,California,4626.8,Yes,Basic,Master,1/16/11,Employed,F,79487.0,Suburban,Divorced,114,20.0,87,0.0,1,Special Auto,Special L1,Offer2,Branch,547.2,SUV,Medsize,
FH51383,California,5326.68,No,Basic,High School or Below,2/7/11,Employed,F,76717.0,Urban,Married,66,26.0,10,0.0,6,Personal Auto,Personal L3,Offer4,Call Center,300.53,Two-Door Car,Large,A
TR26615,Oregon,2497.53,No,Basic,High School or Below,1/17/11,Unemployed,M,,Urban,Married,69,5.0,74,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,272.38,Two-Door Car,Medsize,A
ZC97968,California,2736.35,No,Basic,College,2/14/11,Disabled,M,17533.0,Suburban,Married,73,10.0,1,0.0,1,Personal Auto,Personal L3,Offer1,Agent,350.4,Two-Door Car,Medsize,A
NJ54277,California,3746.75,Yes,Extended,College,2/26/11,Employed,F,41479.0,Rural,Married,94,14.0,38,1.0,1,Personal Auto,Personal L2,Offer2,Call Center,19.58,Two-Door Car,Large,A
OM80593,California,7247.31,No,Basic,Bachelor,2/23/11,Unemployed,F,,Suburban,Single,104,9.0,58,0.0,7,Personal Auto,Personal L3,Offer1,Call Center,499.2,SUV,Medsize,A
RL65736,Oregon,6274.45,No,Extended,High School or Below,2/14/11,Medical Leave,F,13662.0,Suburban,Single,85,29.0,37,0.0,3,Personal Auto,Personal L1,Offer1,Agent,408.0,Four-Door Car,Small,
EQ62488,Oregon,15031.56,No,Basic,College,1/15/11,Employed,F,59456.0,Suburban,Married,189,11.0,7,0.0,8,Personal Auto,Personal L3,Offer2,Call Center,907.2,Luxury Car,Large,A
NQ71171,California,5107.07,No,Basic,Bachelor,2/2/11,Employed,M,70174.0,Rural,Married,64,,80,,7,Personal Auto,Personal L2,Offer1,Agent,128.9,Four-Door Car,Medsize,
YK32760,Oregon,2502.21,No,Basic,High School or Below,2/15/11,Unemployed,M,,Suburban,Divorced,74,26.0,95,1.0,1,Corporate Auto,Corporate L1,Offer1,Agent,355.2,Four-Door Car,Medsize,A
AY59197,Nevada,9521.22,No,Extended,College,1/24/11,Employed,M,27769.0,Rural,Married,121,24.0,78,0.0,6,Special Auto,Special L3,Offer4,Agent,123.15,SUV,Small,A
XF15789,Arizona,8869.62,No,Basic,College,2/21/11,Employed,F,81350.0,Rural,Married,110,1.0,28,0.0,9,Personal Auto,Personal L3,Offer3,Branch,228.19,SUV,Large,A
MQ68407,Oregon,4376.36,Yes,Premium,Bachelor,2/28/11,Employed,F,63774.0,Rural,Divorced,111,18.0,63,0.0,1,Personal Auto,Personal L3,Offer2,Agent,60.04,Four-Door Car,Medsize,
CI99444,Nevada,2926.89,No,Basic,College,2/22/11,Employed,F,92381.0,Urban,Married,72,24.0,27,0.0,1,Special Auto,Special L2,Offer2,Call Center,234.77,Four-Door Car,Medsize,A
BD70337,California,24706.92,No,Basic,High School or Below,1/7/11,Medical Leave,M,26307.0,Urban,Married,73,26.0,1,0.0,2,Personal Auto,Personal L2,Offer4,Call Center,313.19,Four-Door Car,Medsize,
GX19342,California,8491.47,No,Premium,High School or Below,1/28/11,Unemployed,F,,Suburban,Single,116,3.0,97,0.0,3,Personal Auto,Personal L3,Offer1,Branch,1193.12,Four-Door Car,Large,A
DP19210,California,9191.73,No,Basic,Master,2/8/11,Employed,F,23823.0,Suburban,Married,115,5.0,39,0.0,6,Corporate Auto,Corporate L2,Offer2,Branch,567.48,Sports Car,Medsize,
OJ63606,Arizona,5776.34,No,Premium,High School or Below,1/28/11,Medical Leave,F,27510.0,Suburban,Married,159,5.0,28,3.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,871.46,SUV,Small,A
OH23893,California,9115.57,No,Basic,Bachelor,2/15/11,Employed,F,69588.0,Rural,Married,114,19.0,45,0.0,6,Personal Auto,Personal L1,Offer1,Branch,173.08,SUV,Medsize,
RI76930,California,4163.04,No,Basic,College,2/12/11,Employed,F,43276.0,Suburban,Married,104,16.0,11,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,499.2,SUV,Large,
YK26558,California,5264.64,No,Basic,College,2/20/11,Unemployed,F,,Rural,Divorced,72,30.0,26,0.0,8,Special Auto,Special L3,Offer1,Branch,135.89,Four-Door Car,Medsize,
OE15005,California,3945.24,No,Basic,College,1/5/11,Medical Leave,M,28855.0,Suburban,Married,101,12.0,59,0.0,1,Personal Auto,Personal L2,Offer3,Call Center,647.44,SUV,Medsize,
RA17555,Oregon,5176.73,No,Basic,High School or Below,2/7/11,Employed,M,41533.0,Urban,Married,65,2.0,46,0.0,9,Corporate Auto,Corporate L2,Offer3,Agent,232.88,Four-Door Car,Medsize,
ZI34278,Arizona,4492.23,No,Basic,Bachelor,1/28/11,Medical Leave,F,21137.0,Suburban,Single,61,29.0,62,1.0,6,Personal Auto,Personal L1,Offer2,Web,292.8,Four-Door Car,Medsize,
XD72019,Oregon,8470.04,No,Extended,Bachelor,2/19/11,Unemployed,F,,Suburban,Single,82,1.0,13,0.0,2,Personal Auto,Personal L2,Offer2,Web,479.31,Four-Door Car,Large,A
RR93140,California,2880.35,No,Basic,College,1/5/11,Employed,F,81565.0,Urban,Married,71,19.0,54,0.0,1,Personal Auto,Personal L2,Offer2,Branch,190.64,Four-Door Car,Medsize,A
BE25221,Arizona,6182.62,No,Extended,High School or Below,2/7/11,Medical Leave,M,20072.0,Suburban,Married,82,35.0,51,0.0,9,Corporate Auto,Corporate L3,Offer1,Agent,473.27,Four-Door Car,Medsize,
PV62583,Nevada,9799.18,No,Extended,College,1/3/11,Medical Leave,M,22166.0,Suburban,Married,126,10.0,22,0.0,6,Personal Auto,Personal L3,Offer1,Web,604.8,SUV,Medsize,A
BL12371,Arizona,5790.57,No,Basic,Master,2/3/11,Employed,M,84551.0,Rural,Divorced,72,10.0,82,0.0,5,Personal Auto,Personal L3,Offer2,Agent,28.93,Four-Door Car,Large,A
ER49844,Arizona,5041.45,No,Basic,College,1/19/11,Employed,M,61972.0,Rural,Married,64,2.0,52,2.0,5,Personal Auto,Personal L1,Offer4,Call Center,138.96,Four-Door Car,Medsize,
RI22468,Arizona,5745.94,No,Basic,Bachelor,1/22/11,Employed,F,57740.0,Urban,Married,74,30.0,87,3.0,9,Personal Auto,Personal L1,Offer3,Web,269.91,Four-Door Car,Medsize,A
SY48591,Arizona,4827.78,No,Basic,College,1/17/11,Unemployed,F,,Suburban,Single,68,29.0,91,0.0,6,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Medsize,
PR23514,California,7664.22,No,Basic,College,1/23/11,Employed,M,60184.0,Rural,Divorced,199,7.0,44,1.0,1,Personal Auto,Personal L3,Offer2,Web,161.62,Luxury SUV,Medsize,
UY32623,California,3593.13,No,Extended,College,2/5/11,Disabled,F,18213.0,Suburban,Divorced,96,12.0,43,1.0,1,Corporate Auto,Corporate L2,Offer1,Branch,460.8,Four-Door Car,Large,A
QV30663,Nevada,9863.5,No,Extended,Master,2/28/11,Employed,F,99654.0,Rural,Married,121,13.0,95,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,272.79,SUV,Medsize,A
MS94619,California,5111.3,No,Basic,High School or Below,2/13/11,Employed,F,76448.0,Suburban,Married,63,9.0,13,0.0,3,Personal Auto,Personal L3,Offer3,Web,302.4,Four-Door Car,Medsize,A
FT56968,Arizona,2590.1,No,Basic,High School or Below,1/3/11,Employed,M,22398.0,Suburban,Married,67,,76,,1,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Large,A
TX39594,Arizona,2452.49,No,Basic,High School or Below,1/25/11,Employed,F,51085.0,Suburban,Married,62,4.0,58,1.0,1,Personal Auto,Personal L3,Offer3,Call Center,406.9,Two-Door Car,Small,
GR42174,Oregon,2194.67,No,Basic,College,1/2/11,Unemployed,M,,Suburban,Single,62,11.0,48,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,623.53,Four-Door Car,Medsize,
XI79589,California,4473.88,No,Extended,High School or Below,2/16/11,Unemployed,F,,Suburban,Divorced,125,2.0,84,0.0,1,Personal Auto,Personal L1,Offer1,Branch,600.0,SUV,Medsize,
XQ74827,Arizona,19435.63,No,Extended,High School or Below,2/1/11,Employed,F,38688.0,Suburban,Single,249,22.0,6,0.0,3,Special Auto,Special L3,Offer1,Agent,2294.63,Luxury Car,Medsize,A
TW17878,Oregon,2457.58,No,Basic,High School or Below,1/27/11,Employed,F,52926.0,Suburban,Married,61,2.0,92,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,292.8,Four-Door Car,Medsize,
GB43363,Oregon,6870.61,No,Premium,College,1/24/11,Unemployed,M,,Suburban,Single,105,5.0,87,0.0,3,Personal Auto,Personal L3,Offer1,Branch,756.0,Four-Door Car,Small,A
BR69566,,14019.83,,Basic,College,2/18/11,Employed,M,31739.0,Suburban,Divorced,71,10.0,29,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,469.88,Two-Door Car,Small,
EP83939,Arizona,5575.75,No,Basic,High School or Below,1/26/11,Employed,M,91416.0,Rural,Married,69,,39,,5,Personal Auto,Personal L3,Offer2,Call Center,109.9,Four-Door Car,Medsize,
IQ95180,Oregon,5651.4,No,Basic,Bachelor,1/19/11,Employed,M,44634.0,Suburban,Married,71,16.0,99,1.0,9,Personal Auto,Personal L3,Offer1,Branch,396.04,Four-Door Car,Small,A
JX52708,California,4556.07,No,Basic,Bachelor,2/14/11,Medical Leave,M,25617.0,Suburban,Divorced,63,22.0,3,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,302.4,Two-Door Car,Medsize,A
UF44021,,2108.49,,Basic,Bachelor,1/2/11,Unemployed,M,,Suburban,Single,61,8.0,91,0.0,1,Personal Auto,Personal L2,Offer1,Agent,351.86,Two-Door Car,Medsize,
AV25133,Oregon,3095.71,No,Extended,College,1/12/11,Unemployed,F,,Suburban,Single,92,31.0,24,1.0,1,Personal Auto,Personal L3,Offer3,Web,774.89,Two-Door Car,Small,
WL24392,Arizona,5860.17,No,Basic,Bachelor,2/1/11,Employed,M,94527.0,Rural,Married,73,16.0,32,0.0,3,Personal Auto,Personal L1,Offer1,Agent,41.46,Four-Door Car,Medsize,A
LO57874,Oregon,2300.69,Yes,Basic,Bachelor,1/15/11,Retired,M,25905.0,Suburban,Divorced,63,21.0,12,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Four-Door Car,Large,
UO54511,California,4950.25,No,Basic,High School or Below,1/20/11,Employed,F,27400.0,Suburban,Married,63,14.0,78,1.0,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,A
KR35099,Washington,7507.46,Yes,Basic,College,2/6/11,Employed,M,60920.0,Urban,Single,64,,61,,2,Personal Auto,Personal L3,Offer2,Agent,231.2,Two-Door Car,Medsize,A
NY12562,Nevada,2224.09,No,Basic,College,1/5/11,Unemployed,F,,Suburban,Single,64,20.0,4,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,483.26,Four-Door Car,Medsize,A
QG27547,Oregon,2867.31,Yes,Extended,Bachelor,1/3/11,Retired,F,23376.0,Suburban,Divorced,78,19.0,18,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A
PH78214,Oregon,5427.17,No,Basic,College,2/11/11,Medical Leave,F,27677.0,Suburban,Married,72,10.0,82,1.0,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize,
LO37570,Arizona,12157.54,No,Extended,High School or Below,1/7/11,Employed,M,40432.0,Suburban,Married,77,21.0,66,0.0,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,A
FH81409,California,8152.24,No,Extended,High School or Below,1/21/11,Unemployed,M,,Suburban,Single,79,19.0,70,0.0,2,Personal Auto,Personal L1,Offer1,Agent,568.8,Four-Door Car,Small,
RW65977,Arizona,2191.13,No,Basic,College,1/29/11,Unemployed,M,,Suburban,Single,61,9.0,16,1.0,1,Special Auto,Special L2,Offer1,Agent,439.2,Four-Door Car,Medsize,
LD75023,Oregon,26346.09,No,Extended,High School or Below,1/20/11,Employed,M,48268.0,Suburban,Divorced,223,28.0,26,0.0,2,Personal Auto,Personal L2,Offer1,Web,1605.6,Luxury SUV,Medsize,
OZ92426,Oregon,2364.43,No,Basic,College,1/18/11,Employed,M,46264.0,Urban,Single,62,17.0,75,0.0,1,Corporate Auto,Corporate L1,Offer4,Branch,199.37,Four-Door Car,Medsize,
FI17798,California,2710.12,No,Basic,Doctor,1/11/11,Unemployed,M,,Suburban,Married,71,7.0,87,0.0,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,Small,
YC54142,Washington,74228.52,No,Extended,High School or Below,1/26/11,Unemployed,M,,Suburban,Single,242,1.0,34,0.0,2,Personal Auto,Personal L1,Offer1,Branch,1742.4,Luxury Car,Medsize,
LN28900,California,14687.08,No,Extended,Bachelor,2/23/11,Unemployed,M,,Suburban,Single,85,3.0,61,0.0,2,Personal Auto,Personal L1,Offer1,Web,612.0,Four-Door Car,Small,A
SX63814,Arizona,9312.59,No,Premium,High School or Below,2/13/11,Employed,M,75986.0,Rural,Married,115,11.0,44,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,89.12,Four-Door Car,Medsize,
VM85555,California,7750.12,No,Basic,College,2/23/11,Employed,F,22668.0,Rural,Single,67,5.0,34,1.0,2,Personal Auto,Personal L2,Offer3,Branch,33.72,Four-Door Car,Medsize,A
RO18530,Washington,2540.69,No,Basic,Master,2/28/11,Employed,M,42557.0,Rural,Single,65,4.0,35,0.0,1,Personal Auto,Personal L3,Offer4,Agent,57.56,Four-Door Car,Large,
FR48094,Arizona,2456.82,No,Basic,High School or Below,2/15/11,Unemployed,M,,Suburban,Single,73,15.0,59,0.0,1,Personal Auto,Personal L3,Offer4,Branch,525.6,Four-Door Car,Small,A
DY27653,Oregon,3755.81,No,Extended,High School or Below,1/4/11,Employed,F,56178.0,Suburban,Married,94,1.0,39,0.0,1,Personal Auto,Personal L3,Offer2,Branch,451.2,Four-Door Car,Medsize,
OH69760,Arizona,5181.05,No,Basic,College,2/2/11,Unemployed,F,,Suburban,Married,70,,64,,7,Personal Auto,Personal L1,Offer1,Branch,336.0,Four-Door Car,Large,
CH50584,Oregon,32474.77,No,Basic,High School or Below,1/22/11,Employed,M,71449.0,Suburban,Divorced,102,17.0,7,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,734.4,SUV,Small,A
WM19996,California,8349.52,No,Basic,Bachelor,1/9/11,Employed,M,45428.0,Urban,Divorced,109,,46,,3,Corporate Auto,Corporate L3,Offer1,Call Center,487.27,SUV,Medsize,A
ZH92587,Oregon,8126.77,No,Basic,College,2/22/11,Disabled,F,14616.0,Suburban,Married,107,,73,,3,Personal Auto,Personal L3,Offer1,Agent,513.6,,,
CJ51511,Arizona,13466.92,Yes,Basic,High School or Below,2/23/11,Disabled,F,11432.0,Suburban,Married,119,,9,,2,Corporate Auto,Corporate L3,Offer2,Agent,571.2,,,
ME37450,Arizona,5210.35,No,Basic,Bachelor,1/4/11,Employed,M,89781.0,Rural,Single,66,7.0,89,0.0,5,Special Auto,Special L2,Offer1,Agent,37.96,,,A
KO86181,Oregon,6941.87,No,Basic,College,2/11/11,Unemployed,F,,Suburban,Single,111,3.0,73,3.0,6,Personal Auto,Personal L3,Offer1,Agent,532.8,SUV,Small,A
KD63933,California,7048.38,No,Basic,College,2/19/11,Medical Leave,M,24030.0,Suburban,Single,194,14.0,0,0.0,1,Personal Auto,Personal L1,Offer1,Agent,970.69,Luxury SUV,Medsize,
CM66204,Arizona,26770.45,No,Basic,College,1/23/11,Employed,F,26335.0,Urban,Married,113,32.0,7,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,355.82,SUV,Large,
NV13794,Nevada,9549.11,No,Basic,High School or Below,2/9/11,Employed,F,55986.0,Urban,Married,119,3.0,60,0.0,9,Personal Auto,Personal L1,Offer1,Agent,388.51,SUV,Small,
HF75891,Washington,4331.46,No,Basic,High School or Below,2/11/11,Employed,F,82302.0,Suburban,Married,106,11.0,92,0.0,1,Personal Auto,Personal L2,Offer1,Branch,722.18,SUV,Medsize,
NB81923,Washington,7294.49,No,Basic,College,2/24/11,Unemployed,F,,Suburban,Single,113,12.0,66,2.0,7,Personal Auto,Personal L3,Offer1,Call Center,733.74,Sports Car,Medsize,A
AV96010,Oregon,3289.12,No,Extended,College,1/29/11,Employed,M,40097.0,Rural,Single,92,23.0,35,4.0,1,Personal Auto,Personal L2,Offer1,Call Center,227.22,Two-Door Car,Medsize,
CA22248,Oregon,2505.42,No,Basic,Master,2/14/11,Employed,F,60546.0,Rural,Single,63,21.0,71,0.0,1,Personal Auto,Personal L3,Offer2,Branch,46.28,,,A
PK23339,Arizona,3417.95,No,Extended,High School or Below,1/25/11,Employed,F,72460.0,Urban,Married,85,9.0,76,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,370.02,Four-Door Car,Medsize,A
JY66887,California,16320.77,No,Extended,High School or Below,2/27/11,Unemployed,F,,Suburban,Single,247,5.0,12,3.0,5,Personal Auto,Personal L2,Offer2,Branch,1778.4,Luxury Car,Medsize,
NH16984,California,2838.07,No,Extended,Bachelor,2/7/11,Unemployed,F,,Urban,Divorced,80,30.0,8,0.0,1,Personal Auto,Personal L1,Offer1,Web,336.51,Four-Door Car,Medsize,
UV12583,California,4700.58,No,Basic,College,2/18/11,Employed,F,76694.0,Suburban,Married,117,34.0,23,0.0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,A
VG56765,Arizona,2471.53,Yes,Basic,High School or Below,1/15/11,Employed,M,95697.0,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Agent,114.27,Two-Door Car,Medsize,A
AK11669,Arizona,10130.93,No,Extended,Doctor,1/17/11,Employed,F,59232.0,Suburban,Divorced,85,6.0,75,0.0,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,A
SZ60450,California,3419.11,No,Extended,High School or Below,2/13/11,Employed,M,40272.0,Rural,Married,86,8.0,64,0.0,1,Personal Auto,Personal L3,Offer3,Agent,23.39,Two-Door Car,Medsize,
MS87381,California,23866.16,No,Extended,High School or Below,2/14/11,Unemployed,F,,Suburban,Married,81,27.0,93,1.0,2,Personal Auto,Personal L2,Offer3,Branch,388.8,Four-Door Car,Medsize,A
LP47259,Arizona,8324.23,No,Extended,High School or Below,1/1/11,Unemployed,M,,Suburban,Single,121,,92,,5,Corporate Auto,Corporate L3,Offer2,Branch,871.2,Sports Car,Medsize,A
No31089,Arizona,3179.47,No,Extended,Bachelor,1/21/11,Employed,F,65742.0,Urban,Married,79,6.0,0,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,277.36,Four-Door Car,Medsize,
SD83603,Oregon,6672.13,No,Extended,College,2/13/11,Employed,F,56830.0,Urban,Married,83,,27,,9,Personal Auto,Personal L1,Offer2,Agent,319.8,Two-Door Car,Medsize,A
TK65222,California,16407.66,No,Premium,Bachelor,1/12/11,Employed,M,22103.0,Rural,Single,109,16.0,31,0.0,2,Personal Auto,Personal L2,Offer1,Agent,160.34,Four-Door Car,Large,
HB48073,Arizona,9371.77,No,Basic,Bachelor,2/1/11,Employed,F,66325.0,Urban,Married,117,10.0,10,0.0,5,Corporate Auto,Corporate L2,Offer1,Agent,497.72,SUV,Medsize,A
DO60145,Arizona,4270.03,Yes,Extended,College,1/19/11,Unemployed,M,,Suburban,Married,122,27.0,2,0.0,1,Personal Auto,Personal L3,Offer2,Agent,725.87,SUV,Medsize,
BA40043,California,5799.83,No,Basic,College,1/3/11,Employed,M,60689.0,Rural,Single,74,29.0,67,0.0,7,Corporate Auto,Corporate L2,Offer2,Branch,5.75,Four-Door Car,Medsize,
EC28398,Oregon,5096.67,Yes,Basic,Master,1/28/11,Disabled,F,22886.0,Suburban,Divorced,65,9.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,A
FE99816,Nevada,15563.37,No,Premium,Bachelor,1/19/11,Unemployed,F,,Suburban,Married,253,15.0,40,5.0,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,A
HS39343,Washington,7475.78,No,Basic,Bachelor,1/26/11,Disabled,F,29633.0,Urban,Married,196,26.0,57,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.65,Luxury Car,Medsize,A
GL44478,Oregon,9986.66,No,Extended,High School or Below,1/22/11,Disabled,M,24067.0,Suburban,Single,132,12.0,2,0.0,6,Corporate Auto,Corporate L3,Offer2,Branch,633.6,Sports Car,Medsize,
EF84269,California,5568.66,No,Extended,College,2/21/11,Employed,F,51489.0,Rural,Married,139,14.0,10,0.0,1,Personal Auto,Personal L2,Offer1,Web,236.74,SUV,Medsize,A
RD22761,Washington,20579.69,No,Basic,Bachelor,1/16/11,Unemployed,M,,Suburban,Single,69,5.0,26,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,566.67,Four-Door Car,Medsize,A
DO41287,Oregon,8276.44,No,Extended,High School or Below,2/18/11,Unemployed,M,,Suburban,Single,82,29.0,92,0.0,2,Personal Auto,Personal L2,Offer3,Branch,590.4,Four-Door Car,Medsize,A
OO89057,California,4014.33,No,Extended,Master,2/17/11,Employed,F,54054.0,Rural,Married,99,7.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Branch,5.66,Four-Door Car,Medsize,
DQ92905,Arizona,12989.82,No,Basic,Bachelor,2/24/11,Unemployed,M,,Suburban,Single,65,16.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Web,312.0,Four-Door Car,Medsize,
EW33419,California,15114.4,Yes,Basic,High School or Below,1/19/11,Medical Leave,F,28513.0,Suburban,Married,100,4.0,22,1.0,2,Corporate Auto,Corporate L2,Offer2,Call Center,480.0,SUV,Medsize,A
KH16079,Washington,4709.52,No,Basic,High School or Below,2/12/11,Unemployed,F,,Suburban,Single,66,17.0,29,0.0,3,Personal Auto,Personal L1,Offer1,Agent,470.58,Four-Door Car,Small,A
GU99037,Oregon,2452.98,No,Basic,College,2/14/11,Employed,M,79898.0,Urban,Married,62,5.0,86,1.0,1,Corporate Auto,Corporate L1,Offer4,Agent,271.61,Four-Door Car,Medsize,
BM92346,California,3919.37,Yes,Extended,High School or Below,1/5/11,Employed,F,66676.0,Suburban,Married,97,0.0,40,0.0,1,Personal Auto,Personal L1,Offer3,Agent,558.1,Four-Door Car,Small,
TE60343,,4716.26,,Basic,High School or Below,2/25/11,Employed,M,25746.0,Suburban,Married,61,0.0,84,1.0,3,Corporate Auto,Corporate L3,Offer2,Agent,292.8,Four-Door Car,Medsize,A
RU75949,Oregon,12332.52,No,Basic,College,2/28/11,Employed,M,85789.0,Rural,Married,105,18.0,54,2.0,2,Personal Auto,Personal L1,Offer1,Agent,122.3,Sports Car,Medsize,
PP35705,California,35862.99,No,Extended,High School or Below,2/26/11,Medical Leave,M,26376.0,Suburban,Divorced,121,7.0,19,0.0,2,Personal Auto,Personal L3,Offer1,Agent,580.8,SUV,Small,
ZM45168,Oregon,2398.35,No,Basic,College,2/14/11,Disabled,M,14321.0,Suburban,Single,65,20.0,72,0.0,1,Personal Auto,Personal L2,Offer1,Branch,423.82,Four-Door Car,Medsize,A
SH93005,California,6005.85,Yes,Extended,College,2/23/11,Retired,M,13528.0,Suburban,Single,86,21.0,35,0.0,3,Personal Auto,Personal L3,Offer1,Agent,412.8,Four-Door Car,Medsize,
QK24293,,6265.34,,Extended,Doctor,1/13/11,Unemployed,F,,Suburban,Married,84,18.0,25,1.0,4,Corporate Auto,Corporate L1,Offer1,Agent,481.03,Four-Door Car,Medsize,
CJ72056,California,8013.9,No,Basic,Bachelor,1/17/11,Employed,M,65636.0,Suburban,Married,67,15.0,72,0.0,2,Personal Auto,Personal L2,Offer2,Call Center,321.6,Four-Door Car,Medsize,
